index,response
1,Job interviews
2,Speaking in public
3,Networking events
4,Sales presentations
5,Classroom presentations
6,Press conferences
7,Debating competitions
8,Toastmaster meetings
9,Spoken word poetry performances
10,Improvised comedy shows
11,Panel discussions
12,Political debates
13,Q&A sessions
14,Religious sermons
15,Stand-up comedy performances
16,Televised interviews
17,Talk show appearances
18,Podcast recordings
19,Radio interviews
20,Webinars
21,Faculty meetings
22,Team brainstorming sessions
23,Conferences and symposiums
24,Municipal council meetings
25,Charity auctions
26,Wedding speeches
27,Eulogies
28,Professional networking receptions
29,Cocktail parties
30,Corporate retreats
31,TED Talks
32,Marketing pitches
33,Business meetings
34,Press junkets
35,Movie and theater reviews
36,Book readings and signings
37,Social media live video streams
38,YouTube video vlogs
39,Facebook Live events
40,Instagram Live sessions
41,Gaming live streams
42,Game shows
43,Talent shows
44,Dance recitals
45,Music concerts
46,Theater productions
47,Art exhibit openings
48,Fashion show commentary
49,Horse racing broadcasts
50,Sports commentary
51,Post-game locker room interviews
52,Golf and tennis tournament commentary
53,Ski resort commentary
54,Theme park ride narration
55,Guided museum and gallery tours
56,Historical tours
57,Audio tour guide recordings
58,Podcast interviews
59,Expert witness testimony
60,Public hearings
61,Neighborhood meetings
62,University lectures
63,Student presentations
64,Writing workshops
65,Book club discussions
66,Foreign language conversations
67,Language teaching demonstrations
68,Courtroom arguments
69,Speech therapy sessions
70,Youth group meetings
71,Parent-teacher conferences
72,Parenting workshops
73,Family reunions
74,Family game nights
75,Pub trivia nights
76,Collaborative work meetings
77,Product launch events
78,Customer feedback sessions
79,Town hall meetings
80,Open mic nights
81,Karaoke sessions
82,Poetry slams
83,Comedy roast events
84,Improv workshops
85,Musician auditions
86,Dance troupe auditions
87,Monologue auditions
88,Voiceover auditions
89,Screenplay readings
90,Script analysis sessions
91,Playwriting workshops
92,Journaling workshops
93,Personal development seminars
94,Wellness retreats
95,Life coaching sessions
96,Couples therapy sessions
97,Professional coaching sessions
98,Job search workshops
99,Resume writing workshops
100,Career counseling sessions.
