text,label
Paying off student loans or credit card debt to avoid high interest rates.,83
A sales pitch where the salesperson is trying to impress the potential customer with the benefits of their product.,3
"A philanthropist who has dedicated their time, energy, and resources to supporting charitable causes that have a transformative impact on society.",91
Hiring a new employee,22
A maintenance worker must check all the fittings on a machine to ensure it is working correctly.,10
A dating app where users must provide accurate information and follow respectful communication guidelines.,51
You wake up in a room and can't remember how you got there or what happened before.,13
Forgetting someone's name,56
Blamed for causing a car accident.,21
A woman grappling with the consequences of having an affair with a married man.,57
Going on a vacation on a cruise ship,27
A yoga or fitness class where people can work out and socialize with others.,46
A coach yells and berates their players to motivate them.,97
An accomplished athlete who has set numerous records in their sport.,93
Being in a toxic work environment.,58
Joining a book club and discussing literature with fellow readers,0
A friend asking to borrow your clothes for a special occasion.,8
"When ordering at a restaurant, customers are expected to communicate their preferences and dietary needs to the server.",7
A police officer refusing to let a suspect go free despite pressure from higher-ups,82
A club with a DJ playing electronic dance music,86
"A person tries to flirt with someone they find attractive, but ends up saying something inappropriate instead.",47
A parent uses aggressive tactics to control their child's behavior.,97
"When a person has multiple sclerosis or other neurological conditions, they may require care and support.",75
A successful writer whose works have earned widespread critical acclaim.,93
"When a person is recovering from addiction, they may need support and care to remain sober.",75
Deciding where to go on vacation,22
A person asking for forgiveness in a religious setting.,74
"When a person is undergoing chemotherapy or radiation therapy for cancer, they may require care and support.",75
Criminal investigations,63
A fireworks display with loud explosions and booms.,40
"A dance party with friends, where each person has their own playlist",86
Harassing or threatening someone online or in person.,52
Roommates argue over how to manage overnight guests.,32
A town hall meeting to discuss the proposed national budget.,11
A family gathering with good food and catching up with relatives,0
A gymnastics coach who only wants what's best for himself may pressure his team into overworking and risking injury.,95
Being questioned repeatedly without being given a chance to answer.,31
A movie soundtrack enhancing the emotions of a scene,86
A ski trip where the sensation of snow and cold is significant.,49
Watching a movie at the cinema with friends.,89
You experience high levels of stress.,50
A religious holiday celebrated with family.,74
Volunteering for a cause,88
Feeling overwhelmed by workload,56
"A pile of laundry needs to be washed, dried and folded.",2
Funding a startup business or idea to achieve financial independence.,83
Roommates argue over who should pay for groceries.,32
When seeking out a promotion within a company and advancing to a higher position.,55
A teacher asking for volunteers to help with a project.,8
Your professor is counting on you to turn in your research paper on time.,5
A music concert where the band is trying to impress the audience with their performance.,3
