index,response
1,A team running drills on the basketball court.
2,A group of friends playing beach volleyball.
3,A child learning how to ride a bike.
4,Two runners racing to the finish line.
5,A group of coworkers playing softball during lunch break.
6,A swimmer practicing their technique in the pool.
7,A football team scrimmaging during practice.
8,A golfer perfecting their swing on the golf course.
9,A group of cyclists racing down a winding road.
10,A martial arts class sparring in the dojo.
11,A gymnastics team practicing their routines on the mats.
12,A snowboarder hitting jumps in the terrain park.
13,A tennis player practicing their serve on the court.
14,A group of kids playing catch in the backyard.
15,A soccer team practicing their passing and teamwork.
16,A rock climber scaling a vertical wall at the gym.
17,A pitcher warming up on the mound before a big game.
18,A runner training for a marathon on a scenic trail.
19,A basketball player shooting hoops alone on the court.
20,A golfer putting on the green to save par.
21,A swimmer competing in a long-distance race.
22,A runner sprinting to the finish line in a track meet.
23,A snowshoer trekking through a snow-covered forest.
24,A group of ultimate frisbee players competing in a tournament.
25,A cyclist climbing a steep hill in a road race.
26,A skier carving turns down a freshly groomed slope.
27,A cheerleading squad performing a routine at a game.
28,A weightlifter gearing up for a heavy lift in competition.
29,A soccer player making a game-winning goal in overtime.
30,A kiteboarder catching air on the waves at the beach.
31,A rowing team gliding through the water in sync.
32,A hockey player scoring a power play goal during a game.
33,A skateboarder grinding a rail at the skate park.
34,A track athlete setting a new personal record in a race.
35,A snowmobiler racing across a frozen lake.
36,A handball player dodging defenders and scoring a point.
37,A cross-country skier competing in a biathlon.
38,A cricket player hitting a six to win the match.
39,A bobsledder hurtling down the track at lightning speed.
40,A figure skater performing a dazzling routine on the ice.
41,A water polo team passing and shooting in the pool.
42,A fencer executing a perfect lunge in competition.
43,A triathlete completing a grueling race across multiple disciplines.
44,A jiu-jitsu practitioner executing a submission hold on their opponent.
45,A rugby team scrumming for the ball in a match.
46,A kickboxer landing a knockout punch in the ring.
47,A curling team sliding stones down the ice for points.
48,A volleyball player spiking the ball over the net for a point.
49,A rodeo cowboy riding a bucking bull in competition.
50,A diver performing a beautifully executed dive off the board.
51,A basketball player nailing a game-winning three-pointer at the buzzer.
52,A sprinter exploding out of the blocks in a track meet.
53,A mountain biker tackling a steep descent on a technical trail.
54,A rower powering through choppy waters during a regatta.
55,A surfer catching a perfect wave and riding it to shore.
56,A wrestler executing a takedown maneuver on an opponent.
57,A pole vaulter soaring over the bar at a competition.
58,A downhill skier flying down a steep run at high speed.
59,A badminton player smashing the shuttlecock for a hard-earned point.
60,A hurdler leaping over barriers with grace and speed.
61,A archer shooting at a target with pinpoint accuracy.
62,A mountain climber ascending steep rock faces with ropes and gear.
63,A javelin thrower launching the spear with incredible force and precision.
64,A snowboarder carving through fresh powder on a backcountry run.
65,A kayaker navigating white-water rapids with skill and bravery.
66,A field hockey player dribbling and passing the ball for a shot on goal.
67,A boxer delivering a crushing punch to knock out their opponent.
68,A crossfitter powering through a grueling workout.
69,A high jumper soaring over the bar with ease and grace.
70,A lacrosse player cradling the ball and dodging defenders for a score.
71,A trampolinist performing incredible flips and twists in the air.
72,A decathlete competing in multiple events over two days.
73,A cricket bowler delivering a fast ball to a batsman.
74,A BMX rider racing around a track with jumps and obstacles.
75,A hockey goalie making an incredible save to secure a win.
76,A windsurfer catching the wind and riding across the water at high speed.
77,A halter horse rider showing off their horse's poise and grace.
78,A softball player making a diving catch to save a run.
79,A karateka executing a perfect kata for their sensei.
80,A hammer thrower launching the heavy ball with incredible strength.
81,A dressage rider guiding their horse through a series of intricate movements.
82,A 100-meter relay team passing the baton with lightning speed.
83,A pistol shooter hitting a bullseye with precision and accuracy.
84,A judoka executing a perfect throw to win their match.
85,A shot putter pushing the heavy ball further and further with each attempt.
86,A water skier cutting through the water behind a boat.
87,A sprint triathlete pushing themselves to the limit in a fast-paced race.
88,A pole dancer showcasing their strength and flexibility in a competition.
89,A ski jumper soaring off the end of the ramp and into the air.
90,A crossfit team competing in a high-intensity relay race.
91,A rower competing in a single scull in calm waters.
92,A powerlifter lifting a huge weight with ease and confidence.
93,A golfer chipping out of a sand trap and landing it perfectly on the green.
94,A softball pitcher throwing a fast ball to strike out a batter.
95,A synchronised swim team performing a beautifully choreographed routine.
96,A long jumper leaping further and further with power and grace.
97,A kite surfer catching the wind and racing across the waves.
98,A runner competing in a steeplechase race over obstacles and water.
99,A canoeist paddling down a meandering river in peaceful surroundings.
100,A rodeo rider showing off their skills on horseback in a wild-west show.
